player_name,season,height_inches,weight,forty,bench,vertical,broad_jump,cone,shuttle,bmi,size_score,speed_score,burst_score,agility_score,pos,pos_group,conf_tier,is_skill,is_blue_blood,is_sec,age_at_draft,era,draft_ovr,draft_round,is_first_round,is_drafted
Joe Dean Davenport,2000,79.0,268.0,5.06,13.0,30.0,108.0,7.33,4.67,30.18811087966672,21172.0,81.76411160169481,39.0,12.0,TE,Skill,Power Five,1,0,1,,2000-2005,,8,0,0
Darren Davis,2000,68.0,189.0,4.81,13.0,32.0,109.0,7.04,4.47,28.734212802768166,12852.0,70.61736271969338,41.083333333333336,11.51,RB,Skill,Power Five,1,0,0,,2000-2005,,8,0,0
Adam Davis,2000,76.0,309.0,5.66,,26.0,92.0,8.51,5.0,37.60855263157895,23484.0,60.21750402497421,33.666666666666664,13.51,OG,OL,Power Five,0,0,0,,2000-2005,,8,0,0
JaJuan Dawson,2000,73.0,199.0,4.55,,34.0,117.0,6.96,4.16,26.25201726402702,14527.0,92.86188292546024,43.75,11.120000000000001,WR,Skill,Group of Five,1,0,0,22.0,2000-2005,79.0,3,0,1
Ron Dayne,2000,71.0,259.0,4.65,,,,,,36.119222376512596,18389.0,110.79443526928024,,,RB,Skill,Power Five,1,0,0,22.0,2000-2005,11.0,1,1,1
Jerry DeLoach,2000,75.0,314.0,4.99,19.0,31.5,101.0,7.4,4.57,39.24302222222222,23550.0,101.28787533324939,39.916666666666664,11.97,DT,DL,Power Five,0,0,0,,2000-2005,,8,0,0
Mike Derouselle,2000,74.0,314.0,5.28,27.0,27.5,96.0,7.67,4.8,40.31081081081081,23236.0,80.80234291533752,35.5,12.469999999999999,DT,DL,Group of Five,0,0,0,,2000-2005,,8,0,0
Na'il Diggs,2000,76.0,231.0,4.66,,,,,,28.11513157894737,17556.0,97.97117321374981,,,OLB,Edge,Power Five,0,1,0,22.0,2000-2005,98.0,4,0,1
Reuben Droughns,2000,71.0,215.0,4.66,13.0,30.0,115.0,7.34,4.41,29.983138266217022,15265.0,91.1852910863905,39.583333333333336,11.75,RB,Skill,Power Five,1,0,0,22.0,2000-2005,81.0,3,0,1
Ron Dugans,2000,73.0,206.0,4.58,,,117.0,,,27.175455057234,15038.0,93.63437242482406,,,WR,Skill,Power Five,1,0,0,23.0,2000-2005,66.0,3,0,1
Deon Dyer,2000,71.0,260.0,4.99,,28.0,104.0,7.88,4.81,36.258678833564765,18460.0,83.86894135874154,36.666666666666664,12.69,FB,Skill,Power Five,1,0,0,22.0,2000-2005,117.0,4,0,1
Chris Edwards,2000,77.0,226.0,4.65,,,,,,26.796761679878564,17402.0,96.67776977164993,,,OLB,Edge,Power Five,0,0,0,,2000-2005,,8,0,0
Mario Edwards,2000,72.0,191.0,4.46,,,120.0,,,25.9014274691358,13752.0,96.54369757544032,,,CB,DB,Power Five,0,0,0,24.0,2000-2005,180.0,6,0,1
Shaun Ellis,2000,76.0,280.0,4.85,,,,,,34.078947368421055,21280.0,101.20945181967538,,,DE,Edge,Power Five,0,1,1,23.0,2000-2005,12.0,1,1,1
John Engelberger,2000,76.0,260.0,4.73,24.0,34.0,115.0,6.95,4.28,31.644736842105264,19760.0,103.88642006066941,43.583333333333336,11.23,DE,Edge,Power Five,0,0,0,23.0,2000-2005,35.0,2,0,1
